run,levels,conversion,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,1000,stod-copy,683650,1810264,273240,778343,164640,490786,1134578,2830593
1,1000,fixed-ref,694928,2112487,58740,225288,168319,515703,929375,2549350
1,1000,stod-ref,537079,1478029,228708,489513,130185,283724,897016,2206984
2,1000,stod-copy,612662,1821434,246515,557730,148555,350825,1012063,2454731
2,1000,fixed-ref,530467,1292499,44396,90236,128583,241941,704609,1978611
2,1000,stod-ref,582234,1650170,241991,847745,142125,293111,969519,2250482
3,1000,stod-copy,495340,1486972,199247,586513,120152,359256,819626,1983162
3,1000,fixed-ref,529580,1518973,46798,143680,128406,332340,705381,1898674
3,1000,stod-ref,554958,1553193,235193,462208,136102,421955,919588,2342527
4,1000,stod-copy,591595,1714198,235609,776320,142947,323283,977154,2398397
4,1000,fixed-ref,507241,1243898,43025,121765,121365,242908,671075,2116773
4,1000,stod-ref,475948,1259203,201641,510347,115869,161854,794708,2147642
5,1000,stod-copy,420419,1382324,168576,407721,101610,185119,693721,2176038
5,1000,fixed-ref,423988,1275153,35957,62912,102482,138314,566204,1424143
5,1000,stod-ref,430669,1240859,181656,376540,105896,167406,718416,1622448
6,1000,stod-copy,431902,1221729,173691,553330,105122,179391,714060,1902731
6,1000,fixed-ref,469018,1378544,40147,70238,114146,240315,626597,1556154
6,1000,stod-ref,459578,1018564,188006,650140,112484,239301,764483,2092205
7,1000,stod-copy,438481,1123768,179994,275615,105915,195502,724372,1689482
7,1000,fixed-ref,482585,1308489,41931,77777,118471,217029,642958,1510634
7,1000,stod-ref,447487,1161328,186381,597708,108534,164004,744270,1602404
8,1000,stod-copy,495937,1370912,198228,334020,121096,186629,823129,1967078
8,1000,fixed-ref,434017,1110043,36775,66150,104768,170480,577473,1378822
8,1000,stod-ref,467636,1282258,197681,430878,113502,211337,780819,1918311
9,1000,stod-copy,433633,1241527,172989,411829,105323,173984,713464,1826043
9,1000,fixed-ref,422670,1053816,35811,90267,102254,257527,562557,1351852
9,1000,stod-ref,445129,935718,185405,390455,108822,237373,743199,1643191
10,1000,stod-copy,464664,1294219,187981,339928,113455,188562,771614,1795598
10,1000,fixed-ref,439898,1058264,37526,56755,107751,178756,587383,1313345
10,1000,stod-ref,443290,1068652,185784,396740,108134,173730,741151,1446051
11,1000,stod-copy,440619,1289341,178042,272888,107543,211414,728155,1735620
11,1000,fixed-ref,436394,1121431,36860,97868,105491,246274,582373,1427138
11,1000,stod-ref,435793,1274067,181882,274882,104899,175467,723742,1804410
12,1000,stod-copy,449172,1320910,180753,282814,108371,244697,740039,1936249
12,1000,fixed-ref,459509,1171611,40702,73923,111188,220371,614228,1653665
12,1000,stod-ref,460578,1409694,191357,472239,111770,214916,765640,2033127
13,1000,stod-copy,469357,934972,190709,301911,114291,204838,778604,1976369
13,1000,fixed-ref,477733,1330091,42351,86530,115049,198115,637220,1520252
13,1000,stod-ref,449189,1427364,187104,375252,109344,283585,748645,1979855
14,1000,stod-copy,453825,856468,183899,395415,110323,321398,753720,1665161
14,1000,fixed-ref,450784,1166752,37881,63450,108227,180950,599704,1437758
14,1000,stod-ref,535435,1551200,225096,513588,129393,356061,894143,2002196
15,1000,stod-copy,474000,1399936,191851,796987,114546,216200,782650,1782188
15,1000,fixed-ref,436777,1019190,37187,57854,105545,169655,582196,1529030
15,1000,stod-ref,498850,1106764,209471,457422,123398,296139,836674,1811257
