run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,map,delta-update,5000,50000,1000,16,0,0,13593509,3.67823e+06,223,229,271,10010150000
2,map,delta-update,5000,50000,1000,16,0,0,13730360,3.64157e+06,223,229,246,10010150000
3,map,delta-update,5000,50000,1000,16,0,0,11532429,4.3356e+06,159,239,262,10010150000
4,map,delta-update,5000,50000,1000,16,0,0,15246741,3.27939e+06,239,278,337,10010150000
5,map,delta-update,5000,50000,1000,16,0,0,12236719,4.08606e+06,193,260,311,10010150000
6,map,delta-update,5000,50000,1000,16,0,0,14486418,3.45151e+06,222,264,302,10010150000
7,map,delta-update,5000,50000,1000,16,0,0,13328203,3.75144e+06,176,249,274,10010150000
