run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,480298772,4.16407e+06,240.149,1980000,845749,1723032,2519956
2,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,400522390,4.99348e+06,200.261,1980000,739582,1223245,2048824
3,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,434588578,4.60205e+06,217.294,1980000,792390,1481277,1963663
4,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,472865514,4.22953e+06,236.433,1980000,878143,1476042,2625488
5,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,386628152,5.17293e+06,193.314,1980000,724697,1265318,1804372
6,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,411263842,4.86306e+06,205.632,1980000,749725,1439814,2039012
7,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,456629862,4.37992e+06,228.315,1980000,824160,1375248,2287535
