run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,335306629,5.96469e+06,167.653,1980000,609112,937943,1374885
2,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,316551910,6.31808e+06,158.276,1980000,590405,958827,1336075
3,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,291186500,6.86845e+06,145.593,1980000,527727,817380,1114048
4,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,242518897,8.24678e+06,121.259,1980000,469971,643553,1272159
5,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,251466211,7.95335e+06,125.733,1980000,484457,671605,1018422
6,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,262887069,7.60783e+06,131.444,1980000,485597,731316,1126808
7,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,294518716,6.79074e+06,147.259,1980000,574124,795588,1201169
