run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-update,5000,50000,1000,16,0,0,7676128,6.5137e+06,106,110,161,10010150000
2,delta-update,5000,50000,1000,16,0,0,6833299,7.31711e+06,108,111,113,10010150000
3,delta-update,5000,50000,1000,16,0,0,7188059,6.95598e+06,107,155,173,10010150000
4,delta-update,5000,50000,1000,16,0,0,6671335,7.49475e+06,106,110,139,10010150000
5,delta-update,5000,50000,1000,16,0,0,7208971,6.9358e+06,107,110,114,10010150000
6,delta-update,5000,50000,1000,16,0,0,6755948,7.40089e+06,108,110,111,10010150000
7,delta-update,5000,50000,1000,16,0,0,6717544,7.4432e+06,108,110,111,10010150000
