run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,off,686733364,2.91234e+06,343.367,0,0,0,0
2,2000000,42,4096,20000,off,701075180,2.85276e+06,350.538,0,0,0,0
3,2000000,42,4096,20000,off,652783236,3.0638e+06,326.392,0,0,0,0
4,2000000,42,4096,20000,off,669975385,2.98518e+06,334.988,0,0,0,0
5,2000000,42,4096,20000,off,734536066,2.72281e+06,367.268,0,0,0,0
6,2000000,42,4096,20000,off,477660900,4.18707e+06,238.83,0,0,0,0
7,2000000,42,4096,20000,off,409213177,4.88743e+06,204.607,0,0,0,0
